TRADEDATE,SBER_price,TATN_price,SBERP_price,PIKK_price,PLZL_price,AFKS_price,RUAL_price,GAZP_price,GMKN_price,MOEX_price,SBER_ret,TATN_ret,SBERP_ret,PIKK_ret,PLZL_ret,AFKS_ret,RUAL_ret,GAZP_ret,GMKN_ret,MOEX_ret
2015-03-19,64.9,288.45,46.55,184.8,1045.0,16.35,,136.81,10410.0,66.99,-0.0055163959546429,0.0248712027003019,-0.0095744680851064,0.0209944751381216,0.0470941883767535,-0.0102905569007263,,-0.0245276292335115,-0.026374859708193,-0.0104874446085673
2015-03-20,67.0,294.25,47.51,187.7,1042.5,16.6,,136.0,10501.0,65.8,0.032357473035439,0.0201074709655053,0.0206229860365199,0.0156926406926405,-0.0023923444976076,0.0152905198776758,,-0.0059206198377311,0.0087415946205571,-0.0177638453500522
2015-03-23,65.0,282.5,46.1,195.0,1008.0,16.59,,134.61,10420.0,65.98,-0.0298507462686566,-0.0399320305862361,-0.0296779625342032,0.0388918486947256,-0.033093525179856,-0.0006024096385542,,-0.010220588235294,-0.0077135510903723,0.0027355623100304
2015-03-24,65.6,281.0,45.71,195.0,1013.0,16.89,,137.15,10330.0,69.0,0.0092307692307691,-0.0053097345132743,-0.0084598698481561,0.0,0.0049603174603174,0.0180831826401446,,0.0188693262016195,-0.0086372360844529,0.0457714458926947
2015-03-25,64.8,277.5,45.8,192.9,1001.5,17.6,,134.9,10500.0,69.25,-0.0121951219512195,-0.0124555160142348,0.0019689345876174,-0.0107692307692307,-0.0113524185587364,0.0420367081113084,,-0.016405395552315,0.0164569215876089,0.0036231884057971
2015-03-26,62.85,269.5,44.65,194.1,1002.0,17.04,,132.2,10310.0,69.43,-0.0300925925925925,-0.0288288288288288,-0.0251091703056768,0.0062208398133747,0.000499251123315,-0.0318181818181819,,-0.0200148257968867,-0.018095238095238,0.0025992779783394
2015-03-27,61.0,267.0,44.15,194.0,1066.0,17.3,,134.88,9905.0,66.65,-0.0294351630867144,-0.0092764378478664,-0.0111982082866741,-0.0005151983513652,0.0638722554890218,0.0152582159624414,,0.0202723146747352,-0.039282250242483,-0.0400403283883047
2015-03-30,63.01,278.9,46.03,192.3,1028.0,17.4,37.34,137.0,10530.0,68.99,0.032950819672131,0.044569288389513,0.0425821064552662,-0.0087628865979381,-0.0356472795497185,0.005780346820809,,0.015717674970344,0.0630994447248864,0.0351087771942983
2015-03-31,62.88,287.0,45.63,193.0,1016.5,17.9,36.79,138.9,10399.0,69.0,-0.0020631645770511,0.0290426676228039,-0.0086899847925265,0.0036401456058241,-0.0111867704280155,0.028735632183908,-0.0147295125870381,0.0138686131386862,-0.012440645773979,0.0001449485432671
2015-04-01,64.5,300.1,47.3,193.2,1028.0,17.75,35.825,143.0,10539.0,70.26,0.0257633587786259,0.045644599303136,0.0365987289064211,0.0010362694300518,0.0113133300541072,-0.0083798882681563,-0.0262299537917911,0.0295176385889128,0.0134628329647081,0.0182608695652175
2015-04-02,65.92,301.5,48.9,186.0,1011.0,17.85,36.45,143.9,10090.0,75.49,0.022015503875969,0.0046651116294567,0.0338266384778012,-0.0372670807453415,-0.0165369649805448,0.0056338028169014,0.0174459176552685,0.0062937062937062,-0.0426036625865832,0.0744378024480498
2015-04-03,65.5,299.0,48.86,193.0,1013.0,17.65,36.72,143.94,10237.0,74.75,-0.006371359223301,-0.0082918739635157,-0.0008179959100204,0.0376344086021505,0.0019782393669633,-0.0112044817927172,0.0074074074074073,0.0002779708130644,0.0145688800792864,-0.0098026228639553
2015-04-06,68.99,307.45,50.62,192.4,1016.5,17.7,36.8,145.7,10200.0,76.49,0.0532824427480915,0.0282608695652173,0.0360212853049528,-0.0031088082901553,0.0034550839091807,0.0028328611898016,0.0021786492374726,0.0122273169376128,-0.0036143401387125,0.0232775919732439
2015-04-07,69.6,305.5,51.35,189.6,1027.5,17.23,36.66,146.2,10125.0,77.01,0.0088418611392955,-0.0063424947145876,0.0144211774002371,-0.0145530145530146,0.0108214461387112,-0.0265536723163841,-0.0038043478260869,0.0034317089910775,-0.0073529411764705,0.0067982742842203
2015-04-08,69.4,303.0,50.7,192.0,1022.0,16.61,37.49,147.27,9986.0,75.2,-0.0028735632183906,-0.0081833060556464,-0.0126582278481012,0.0126582278481013,-0.0053527980535279,-0.0359837492745211,0.0226404800872888,0.0073187414500686,-0.0137283950617284,-0.023503441111544
2015-04-09,72.0,297.95,51.8,182.4,1025.0,16.3,36.55,148.1,9740.0,72.3,0.0374639769452449,-0.0166666666666667,0.0216962524654831,-0.0499999999999999,0.0029354207436398,-0.0186634557495484,-0.0250733528941051,0.0056359068377809,-0.024634488283597,-0.0385638297872341
2015-04-10,71.5,297.2,51.97,192.0,1035.0,16.72,35.38,148.0,9936.0,73.5,-0.0069444444444444,-0.0025172008726296,0.0032818532818532,0.0526315789473683,0.0097560975609756,0.025766871165644,-0.0320109439124485,-0.0006752194463199,0.020123203285421,0.0165975103734439
